rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
172,frame_0116.jpg,46.4,0.3859,0.542,0.1429,0.36,7,1,False,False
173,frame_0322.jpg,128.8,0.3851,0.449,0.4286,0.16,5,3,False,False
174,frame_0098.jpg,39.2,0.385,0.4968,0.4286,0.04,7,3,False,False
175,frame_0205.jpg,82.0,0.3797,0.3857,0.1429,0.72,3,1,False,False
176,frame_0267.jpg,106.8,0.3794,0.4537,0.4286,0.12,3,3,False,False
177,frame_0214.jpg,85.6,0.3779,0.3763,0.2857,0.52,3,2,False,False
178,frame_0100.jpg,40.0,0.3766,0.48,0.4286,0.04,5,3,False,False
179,frame_0285.jpg,114.0,0.3761,0.5123,0.0,0.6,5,0,False,False
180,frame_0094.jpg,37.6,0.3691,0.4868,0.2857,0.2,4,2,False,False
181,frame_0333.jpg,133.2,0.3688,0.4485,0.4286,0.08,6,3,False,False
182,frame_0104.jpg,41.6,0.3687,0.4322,0.4286,0.12,4,3,False,False
183,frame_0201.jpg,80.4,0.3678,0.3402,0.2857,0.56,4,2,False,False
184,frame_0114.jpg,45.6,0.3661,0.4487,0.2857,0.28,6,2,False,False
185,frame_0300.jpg,120.0,0.3656,0.3678,0.2857,0.48,7,2,False,False
186,frame_0112.jpg,44.8,0.3655,0.5652,0.1429,0.2,6,1,False,False
187,frame_0223.jpg,89.2,0.3642,0.4072,0.4286,0.16,6,3,False,False
188,frame_0222.jpg,88.8,0.3626,0.5595,0.1429,0.2,4,1,False,False
189,frame_0233.jpg,93.2,0.3625,0.4576,0.2857,0.24,8,2,False,False
190,frame_0315.jpg,126.0,0.3585,0.4118,0.4286,0.12,6,3,False,False
191,frame_0224.jpg,89.6,0.3581,0.4967,0.2857,0.12,4,2,False,False
192,frame_0179.jpg,71.6,0.3577,0.4103,0.4286,0.12,7,3,False,False
193,frame_0082.jpg,32.8,0.3519,0.346,0.1429,0.68,7,1,False,False
194,frame_0383.jpg,153.2,0.3519,0.3986,0.4286,0.12,5,3,False,False
195,frame_0101.jpg,40.4,0.3506,0.5834,0.1429,0.08,3,1,False,False
196,frame_0317.jpg,126.8,0.3486,0.5314,0.1429,0.2,6,1,False,False
197,frame_0283.jpg,113.2,0.3478,0.4018,0.1429,0.52,7,1,False,False
198,frame_0213.jpg,85.2,0.346,0.468,0.0,0.56,2,0,False,False
199,frame_0226.jpg,90.4,0.3425,0.4118,0.4286,0.04,5,3,False,False
200,frame_0220.jpg,88.0,0.3424,0.4013,0.2857,0.28,4,2,False,False
201,frame_0208.jpg,83.2,0.3412,0.2927,0.1429,0.76,5,1,False,False
202,frame_0218.jpg,87.2,0.3333,0.4368,0.1429,0.36,6,1,False,False
203,frame_0189.jpg,75.6,0.3325,0.4615,0.2857,0.08,5,2,False,False
204,frame_0091.jpg,36.4,0.3319,0.3644,0.2857,0.32,4,2,False,False
205,frame_0086.jpg,34.4,0.3302,0.2809,0.2857,0.52,5,2,False,False
206,frame_0105.jpg,42.0,0.3296,0.4558,0.2857,0.08,7,2,False,False
207,frame_0394.jpg,157.6,0.3269,0.3646,0.4286,0.08,5,3,False,False
208,frame_0080.jpg,32.0,0.3266,0.2634,0.1429,0.76,10,1,False,False
209,frame_0273.jpg,109.2,0.3257,0.432,0.2857,0.12,4,2,False,False
210,frame_0197.jpg,78.8,0.3256,0.4054,0.1429,0.4,1,1,False,False
211,frame_0323.jpg,129.2,0.3232,0.3412,0.4286,0.12,6,3,False,False
212,frame_0090.jpg,36.0,0.321,0.4123,0.1429,0.36,6,1,False,False
213,frame_0085.jpg,34.0,0.3192,0.3287,0.1429,0.56,3,1,False,False
214,frame_0084.jpg,33.6,0.3178,0.3098,0.1429,0.6,5,1,False,False
215,frame_0216.jpg,86.4,0.3158,0.3698,0.1429,0.44,5,1,False,False
216,frame_0391.jpg,156.4,0.315,0.4425,0.2857,0.04,7,2,False,False
217,frame_0083.jpg,33.2,0.3122,0.2826,0.1429,0.64,6,1,False,False
218,frame_0180.jpg,72.0,0.3115,0.3339,0.4286,0.08,6,3,False,False
219,frame_0113.jpg,45.2,0.3102,0.3529,0.2857,0.24,9,2,False,False
220,frame_0268.jpg,107.2,0.3081,0.4984,0.1429,0.08,4,1,False,False
221,frame_0228.jpg,91.2,0.3022,0.417,0.2857,0.04,5,2,False,False
222,frame_0206.jpg,82.4,0.3012,0.2983,0.0,0.76,4,0,False,False
223,frame_0111.jpg,44.4,0.2994,0.3634,0.2857,0.16,4,2,False,False
224,frame_0212.jpg,84.8,0.2954,0.2651,0.1429,0.6,3,1,False,False
225,frame_0195.jpg,78.0,0.2947,0.3756,0.1429,0.32,4,1,False,False
226,frame_0117.jpg,46.8,0.2918,0.3378,0.1429,0.4,5,1,False,False
227,frame_0022.jpg,8.8,0.2904,0.1809,0.0,1.0,4,0,False,False
228,frame_0109.jpg,43.6,0.2838,0.3641,0.2857,0.08,6,2,False,False
229,frame_0178.jpg,71.2,0.2835,0.3315,0.2857,0.16,6,2,False,False
230,frame_0269.jpg,107.6,0.2784,0.3694,0.2857,0.04,5,2,False,False
231,frame_0219.jpg,87.6,0.2777,0.3417,0.1429,0.32,4,1,False,False
232,frame_0308.jpg,123.2,0.2745,0.3136,0.2857,0.16,5,2,False,False
233,frame_0271.jpg,108.4,0.2665,0.4312,0.1429,0.04,4,1,False,False
234,frame_0103.jpg,41.2,0.2614,0.2874,0.2857,0.16,5,2,False,False
235,frame_0092.jpg,36.8,0.2603,0.3229,0.1429,0.28,4,1,False,False
236,frame_0310.jpg,124.0,0.2601,0.3167,0.2857,0.08,5,2,False,False
237,frame_0381.jpg,152.4,0.2562,0.325,0.2857,0.04,5,2,False,False
238,frame_0316.jpg,126.4,0.2536,0.3574,0.1429,0.16,7,1,False,False
239,frame_0119.jpg,47.6,0.2515,0.2252,0.1429,0.48,5,1,False,False
240,frame_0370.jpg,148.0,0.2495,0.3116,0.2857,0.04,6,2,False,False
241,frame_0190.jpg,76.0,0.2481,0.3625,0.1429,0.12,4,1,False,False
242,frame_0382.jpg,152.8,0.245,0.2866,0.2857,0.08,6,2,False,False
243,frame_0324.jpg,129.6,0.244,0.2846,0.2857,0.08,4,2,False,False
244,frame_0221.jpg,88.4,0.2421,0.3024,0.1429,0.24,6,1,False,False
245,frame_0181.jpg,72.4,0.24,0.2926,0.2857,0.04,6,2,False,False
246,frame_0314.jpg,125.6,0.2328,0.3478,0.1429,0.08,5,1,False,False
247,frame_0172.jpg,68.8,0.2323,0.2188,0.1429,0.4,5,1,False,False
248,frame_0311.jpg,124.4,0.2294,0.357,0.1429,0.04,6,1,False,False
249,frame_0204.jpg,81.6,0.2232,0.1743,0.0,0.68,2,0,False,False
250,frame_0203.jpg,81.2,0.2204,0.1848,0.0,0.64,5,0,False,False
251,frame_0192.jpg,76.8,0.2145,0.2633,0.1429,0.2,5,1,False,False
252,frame_0093.jpg,37.2,0.195,0.2082,0.1429,0.24,4,1,False,False
253,frame_0102.jpg,40.8,0.1859,0.2381,0.1429,0.12,5,1,False,False
254,frame_0393.jpg,157.2,0.1683,0.2349,0.1429,0.04,5,1,False,False
255,frame_0325.jpg,130.0,0.1612,0.2206,0.1429,0.04,6,1,False,False
256,frame_0110.jpg,44.0,0.1602,0.1867,0.1429,0.12,3,1,False,False
